Run_Type,Photo_average_accuracy,Photo_stddev,Art_average_accuracy,Art_stddev,Cartoon_average_accuracy,Cartoon_stddev,Sketch_average_accuracy,Sketch_stddev,average_acc,autocluster_acc,heterocluster_acc
Random,97.62333333,0.3716629297,87.04666667,0.7201620188,91.51333333,1.200930195,88.22,0.5129327441,80.08854167,91.10083333,76.41777778
Local_no_comm,93.76,0.6950539547,78.36666667,0.710234703,84.04,0.5284884105,81.22,0.2343074903,47.59625,84.34666667,35.34611111
Oracle,97.82333333,0.4406056438,89.17666667,0.4552288802,94.25666667,0.08736894948,90.47,0.6255397669,55.25104167,92.93166667,42.69083333
DACINV,65.56666667,55.91650233,59.23,50.43171324,62.00666667,52.83491396,59.09,49.44641645,53.20854167,61.47333333,50.45361111
DACCOSB,97.35666667,0.4277070649,86.61,1.070560601,91.16666667,0.5357549191,87.27333333,1.288772025,79.11125,90.60166667,75.28111111
DACCOSORIGIN,96.94333333,0.6201075176,86.49666667,1.07295542,90.83,0.06244997998,87.45333333,1.0715565,79.2175,90.43083333,75.47972222
DACL2,97.95666667,0.3780652501,88.04,1.33,91.15,1.155724881,86.66,1.610807251,77.263125,90.95166667,72.70027778
All data,66.07,56.35261041,60.82333333,52.69046814,63.83333333,55.28128827,61.58,53.33092817,38.39979167,63.07666667,30.17416667
LHOINV,0,0,0,0,0,0,0,0,0,0,0
LHOCOSB,96.89,0,88.28,0,93.68,0,89.15,0,55.366875,92,43.15583333
LHOCOSORIGIN,0,0,0,0,0,0,0,0,0,0,0
LHOL2,0,0,0,0,0,0,0,0,0,0,0